Race/ethnicity,Age group,Vaccination status,Count,Population,Percent population,Date updated
Hispanic,0-4,Additional 1,12,52476,0.02,02/08/2023
Hispanic,0-4,Fully,1879,52476,3.58,02/08/2023
Hispanic,0-4,Initiated,3911,52476,7.45,02/08/2023
Hispanic,10-14,Additional 1,7785,55874,13.93,02/08/2023
Hispanic,10-14,Fully,33391,55874,59.76,02/08/2023
Hispanic,10-14,Initiated,37542,55874,67.19,02/08/2023
Hispanic,15-24,Additional 1,25987,103109,25.2,02/08/2023
Hispanic,15-24,Fully,74216,103109,71.98,02/08/2023
Hispanic,15-24,Initiated,85234,103109,82.66,02/08/2023
Hispanic,25-34,Additional 1,24619,96563,25.5,02/08/2023
Hispanic,25-34,Fully,71346,96563,73.89,02/08/2023
Hispanic,25-34,Initiated,81272,96563,84.16,02/08/2023
Hispanic,35-44,Additional 1,31728,92979,34.12,02/08/2023
Hispanic,35-44,Fully,75172,92979,80.85,02/08/2023
Hispanic,35-44,Initiated,83346,92979,89.64,02/08/2023
Hispanic,45-54,Additional 1,35529,74330,47.8,02/08/2023
Hispanic,45-54,Fully,66192,74330,89.05,02/08/2023
Hispanic,45-54,Initiated,71833,74330,96.64,02/08/2023
Hispanic,55-64,Additional 1,31425,52033,60.39,02/08/2023
Hispanic,55-64,Fully,50062,52033,96.21,02/08/2023
Hispanic,55-64,Initiated,53990,52033,100,02/08/2023
Hispanic,5-9,Additional 1,1911,52203,3.66,02/08/2023
Hispanic,5-9,Fully,18026,52203,34.53,02/08/2023
Hispanic,5-9,Initiated,21368,52203,40.93,02/08/2023
Hispanic,65-74,Additional 1,17365,27234,63.76,02/08/2023
Hispanic,65-74,Fully,25258,27234,92.74,02/08/2023
Hispanic,65-74,Initiated,27703,27234,100,02/08/2023
Hispanic,75+,Additional 1,9372,16492,56.83,02/08/2023
Hispanic,75+,Fully,13886,16492,84.2,02/08/2023
Hispanic,75+,Initiated,15351,16492,93.08,02/08/2023
Hispanic,All Ages,Additional 1,185790,623293,29.81,02/08/2023
Hispanic,All Ages,Fully,429541,623293,68.91,02/08/2023
Hispanic,All Ages,Initiated,481687,623293,77.28,02/08/2023
Hispanic,Unknown,Additional 1,57,,,02/08/2023
Hispanic,Unknown,Fully,113,,,02/08/2023
Hispanic,Unknown,Initiated,137,,,02/08/2023
Multiple Races,0-4,Additional 1,9,10259,0.09,02/08/2023
Multiple Races,0-4,Fully,1091,10259,10.63,02/08/2023
Multiple Races,0-4,Initiated,1696,10259,16.53,02/08/2023
Multiple Races,10-14,Additional 1,2838,11270,25.18,02/08/2023
Multiple Races,10-14,Fully,6921,11270,61.41,02/08/2023
Multiple Races,10-14,Initiated,7184,11270,63.74,02/08/2023
Multiple Races,15-24,Additional 1,7443,21623,34.42,02/08/2023
Multiple Races,15-24,Fully,12302,21623,56.89,02/08/2023
